Key_Words,Group_Code,Weight
pressure,AA,32526560
social,AA,2896680
responsibility,AA,39666520
protests,AA,55540
freedom,AA,70470
democracy,AA,91820
social change,AA,14610
social,AA,91820
power,AA,91820
political appeal,AA,91820
human condition,AA,103890
civil rights,AA,91820
truth,AA,8544590
seeking truth,AA,9753970
challenging power,AA,388020
religion,RA,1311050530
sexuality,AA,1311050530
1960s-1970s feminist movements,AA,9495830
civil rights movements,AA,11299190
anti-totalitarian governments,AA,359290
against military regimes,AA,10879830
1980s AIDS crisis,AA,62000
political issues,AA,774830
socially oriented,RA,10724710
human relations,RA,3810420
social context,RA,2262490
participation,RA,207847530
being together,RA,423190
spectators,RA,7149790
encountering,RA,18105570
interpersonal communications,RA,11178920
everyday life,RA,15577900
happenings,RA,23344180
improvisation,RA,35939930
human relations,RA,520500
activities,RA,59970
participation varied levels,PA,4900270
sociability,PA,14037470
social consciousness,PA,17948140
political engagement,PA,23381040
neighborhood,PA,48228700
interactive,PA,788470
public sculpture,PA,4620330
community project,PA,77266810
public art,PA,20830
emotional impact,PA,4807850
shared feeling,PA,22701560
digital technology,PA,4240320
internet,PA,11389560
socially oriented,PA,1165300
human relations,PA,10543190
social context,PA,5669080
participation,PA,887860
being together,PA,72680
spectators,PA,10528390
encountering,PA,16144360
interpersonal communications,PA,91508080
everyday life,PA,6126580
happenings,PA,845060
improvisation,PA,5227790
human relations & activities,PA,1312560
participation,SESP,99390750
collaboration,SESP,2900
social interaction,SESP,48200
sustainability,SESP,892150
environment,SESP,5503460
education,SESP,64395350
housing,SESP,268610
labor,SESP,282760
colonialism,SESP,3999810
gentrification,SESP,80688550
immigration,SESP,27409890
incarceration,SESP,32220
war,SESP,10954620
borders,SESP,56190
social action,SESP,106830
political change,SESP,543780
social change,SESP,468450
activism,SESP,169890
social order,SESP,16342900
participation,SESP,12608590
totalitarian,SESP,1844330
monitoring,SESP,767090
control,SESP,10711070
power,SESP,800
aesthetics,SESP,8075060
artist function,SESP,757560
artist role,SESP,7287980
artist origin,SESP,9855020
work definition,SESP,329430
influence direction,SESP,23381040
work origination,SESP,257563820
place,SESP,79109270
issue,SESP,36423400
duration,SESP,4688470
cultural competency,SESP,87780
power & influencer analysis,SESP,8064040
policymaking,SESP,59797690
empathy,SESP,2793340
reciprocity,SESP,126573480
humor,SESP,7594550
power dynamics,SESP,17625230
ableism,DSJG,46050300
accessibility,DSJG,112420
androgynous,DSJG,25155320
advocate,DSJG,50293440
ageism,DSJG,3892120
agency,DSJG,5939960
ally,DSJG,6802020
anti-Semitism,DSJG,1970500
asexual,DSJG,5850740
assimilation,DSJG,2135020
bias,DSJG,4503440
bi-racial,DSJG,6278440
